,Doctor_Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fees,Doctor_recommondations
580,Ms. Navya Sree Nambiar,,6 ,Mindful TMS Neurocare ,Whitefield,Bangalore,800,100 
581,Dr. Rachna Sharma   (PhD),,13 ,The Body Cliinic,Whitefield,Bangalore,2100,93 
582,Ms. Arunita Biswas,,15 ,Manipal Hospital Varthur Road,Whitefield,Bangalore,1700,73 
583,Ms. Sucheta Mishra,,6 ,Maarga,Yelahanka,Bangalore,1500,100 
584,Dr. Aarushi Dewan (Phd)   (PhD),,1 year experience,Maarga,Yelahanka,Bangalore,1500,67 
585,Mr. Sudarshan Hegde,,12 ,Manospandana,Banashankari 2nd Stage,Bangalore,1999,50 
587,Dr. Ketan Parmar,,35 ,Dr Ketan Parmar psychiatrist center,Borivali East,Mumbai,1200,77 
588,Dr. Naazneen Ladak,,17 ,BHN Elder Care,Andheri West,Mumbai,2000,91 
589,Ms. Kausar S,,25 ,Wellbeing Counselling services,Khar West,Mumbai,2500,88 
590,Ms. Riddhi Sagar,,10 ,Psychoknowmics Educational And Counseling Services,Vileparle West,Mumbai,1800,97 
591,Ms. Anushree Lokhande,,9 ,Evolving Together,Kemps Corner,Mumbai,2000,96 
592,Ms. Nipa Sanghavi,,13 ,Evolve - The Mind Center,Worli,Mumbai,2000,86 
593,Ms. Mithila Desai,,35 ,Dr Mithila Desai's Power Of Mind Clinic,Borivali West,Mumbai,2850,94 
594,Ms. Khushboo Jain,,8 ,Seabird Medicare,Andheri East,Mumbai,1800,100 
595,Dr. Shyam Mithiya,,16 ,Dr. Mithiya's Clinic,Ghatkopar West,Mumbai,1750,96 
596,Ms. Purvi Palvia,,6 ,Matunga Clinic & Hospital,Matunga,Mumbai,1500,94 
598,Dr. Hema Karthik   (PhD),,21 ,Nirnay Consulting Services,Anna Nagar,Chennai,1500,94 
599,Dr. Getsy Solomon   (PhD),,18 ,Jedidiah Counseling,Avadi,Chennai,1000,99 
600,Dr. Khushali Manikandan   (PhD),,17 ,Gee Ve Polyclinic,Adambakkam,Chennai,1000,89 
601,Mr. B. Elayaraja,,21 ,Kavithalayaa Counseling Centre,Ambattur,Chennai,2500,97 
602,Ms. Sangareswari,,5 ,Psychological Care,Tambaram West,Chennai,1200,100 
603,Mr. Rohit Ramachandran,,5 ,Retract Center,Adyar,Chennai,2000,100 
604,Mr. Saravanan,,15 ,Tranzend Clinic,Valasaravakkam,Chennai,2000,100 
605,Dr. Anju Soni   (PhD),,10 ,COOLWITS,Choolai,Chennai,1300,100 
606,Dr. D.Senthil Kumar,,23 ,Vivekanantha Homeo Clinic & Psychological Counseling Center,Velachery,Chennai,600,95 
607,Mr. Kumaran .K,,12 ,K Point,Ashok Nagar,Chennai,1000,100 
610,Ms. Vaishali Girme,,12 ,Sahyadri Hospital,Deccan Gymkhana,Pune,700,67 
611,Dr. Varsha Choudhari,,12 ,Awakened Living Counseling Center,Sinhagad Road,Pune,1500,91 
612,Dr. Trupti Siddhesh Gurav,,15 ,Dr. Trupti's Counselling Clinic,Pimpri-Chinchwad,Pune,650,93 
613,Mr. Sandip Shobha,,16 ,Neogenesis Indica,Pashan,Pune,2000,99 
614,Ms. Usha Gokhale,,23 ,Usha Gokhale Counselling Clinic,Ambegaon,Pune,1500,100 
615,Ms. Seema Jathar,,4 ,Sanwad Psychological Counselling Centre,Kothrud,Pune,1500,96 
616,Mr. Omkar Naik,,8 ,Cinq In,Baner Road,Pune,1500,100 
617,Dr. Poonam Solanki,,13 ,Deep Homoeopathic Clinic,Hadapsar,Pune,500,99 
618,Ms. Piyusha Pande,,4 ,Cinq In,Baner Road,Pune,1500,100 
619,Ms. Shamira Pujani,,18 ,Olive Health Center,Viman Nagar,Pune,2000,100 
622,Dr. Shailaja Pokhriyal   (PhD),,14 ,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1600,60 
623,Mr. Rajpal Kaushik,,19 ,Kaushik Clinic,Janakpuri,Delhi,1500,90 
624,Dr. (Prof) RK Suri,,39 ,Psychowellness Center,Dwarka,Delhi,4000,96 
625,Dr. Vikas Khanna,,22 ,Orange Pines Counseling & Hypnosis Center,Rajouri Garden,Delhi,1800,98 
626,Ms. Mala Vohra Khanna,,8 ,Raj Psychological Services,Shahdara,Delhi,1000,98 
627,Ms. Neha Gupta,,14 ,AntarMan Healthy mind,Vijaynagar,Delhi,1700,100 
628,Ms. Ashita Mahendru,,11 ,Mind Healing Clinic,Naraina,Delhi,3200,96 
629,Ms. Neelima Dhawan,,6 ,The Happy Tree - De-addiction And Mental Health Hospital,Vivek Vihar,Delhi,1000,100 
630,Dr. Abha Arora,,43 ,Prakashwati   Clinic,Mayur Vihar Ph-III,Delhi,1100,83 
631,Ms. Aishwarya Kumar,,3 ,Mind Vriksha,CR Park,Delhi,2000,100 
633,Mr. Neela Sandeep,,14 ,Mythri Speech And Hearing Clinic,Chanda Nagar,Hyderabad,300,97 
634,Mr. Premnath Balla,,21 ,Phonics Multi Specialty Medical Rehabilitation Centre,Banjara Hills,Hyderabad,500,93 
635,Mr. Ravindar Varakala,,19 ,Harmony Hearing Clinic,Miyapur,Hyderabad,600,99 
636,Ms. Sharmila Banik,,16 ,reDO Speech & Hearing Centre,Gachibowli,Hyderabad,700,91 
637,Mr. Nagendar Kankipati,,14 ,Global Care Hearing Aid Speech Therapy ENT Clinic,Tarnaka,Hyderabad,300,100 
638,Mr. Sai Krishna,,16 ,Hearing Care Centre,Chaitanyapuri,Hyderabad,400,100 
639,Mr. Sachin Kumar Gulve,,14 ,Ashoka Multi Speciality Rehabilitation Centre,AS Rao Nagar,Hyderabad,1000,98 
640,Ms. Lakshmi Prasanna,,16 ,Hearing Care Centre,Chaitanyapuri,Hyderabad,400,100 
641,Mr. Vijay Kumar Avilala,,15 ,National Speech & Hearing Center,Masab Tank,Hyderabad,500,100 
642,Mr. Enoc kumar,,15 ,Hanoc Speech and Hearing Clinic,Yellareddyguda,Hyderabad,500,100 
644,Ms. Neema N Kutty,,10 ,Manipal Hospital Varthur Road,Whitefield,Bangalore,950,100 
645,Mr. Badrinath S N,,23 ,Vibrant Rehabilitation Centre,Banashankari 2nd Stage,Bangalore,500,100 
646,Ms. Rashmi Viswamurthy Krishna Rao,,15 ,Mom's Belief Little Ladders,Banashankari 2nd Stage,Bangalore,600,100 
647,Mr. Ravindar Varakala,,19 ,Harmony Speech and Hearing Clinic,Whitefield,Bangalore,300,99 
648,Dr. Praveen Kumar C G   (PhD),,18 ,Mom's Belief Little Ladders,Banashankari 2nd Stage,Bangalore,600,100 
649,Mr. Nitin K Damam,,8 ,Rudh Hearing and Speech Clinic,Vidyaranyapura,Bangalore,400,100 
650,Mr. SLP Sanjay Kumar,,18 ,Sanjay Speech Hearing and Rehabilitation Center,Hebbal,Bangalore,1400,96 
651,Ms. Kalpana Joshi,,30 ,Meenakshi ENT Speciality Hospital (MENTS),Banashankari 2nd Stage,Bangalore,500,93 
652,Ms. Milda Rajeevan,,5 ,Helen Speech and Hearing Centre,Sarjapur Road,Bangalore,800,100 
653,Ms. Sumita Banerjee,,16 ,Sanjay Speech Hearing and Rehabilitation Center,Hebbal,Bangalore,900,100 
655,Ms. Komal L Renuke,,15 ,Dr L H Hiranandani Hospital,Powai,Mumbai,850,43 
656,Mr. Piyush Gujarathi,,9 ,Global Hospitals,Parel,Mumbai,1500,100 
657,Ms. Neha Chhabria,,15 ,S L Raheja Fortis Hospital,Mahim,Mumbai,1300,100 
658,Ms. Dr Rupal Chaudhary,,28 ,The Hearing and Vertigo Clinic,Dadar West,Mumbai,1000,100 
659,Ms. Sneha Savla,,12 ,Sparkle Multi-Disciplinary Intervention Centre,Mira Road,Mumbai,600,100 
660,Mr. Hemant Bansode,,15 ,The Sapphire ,Mulund West,Mumbai,700,100 
661,Ms. Ashwini Raut,,23 ,Atharva Speech & Hearing Care,Borivali West,Mumbai,600,100 
662,Ms. Devangi Dalal,,32 ,Gandhi Nursing Home - Speech N Sound Concepts,Santacruz,Mumbai,1000,100 
663,Mr. Sunil Savgave,,41 ,Definite Hearing Center,Goregaon West,Mumbai,900,100 
664,Ms. Mohini Shah,,11 ,Clinical Audiologist And Speech Therapist,Mulund West,Mumbai,500,100 
666,Ms. Saradha,,10 ,Life Healthcare Multi Specialty Rehabilitation Centre,Mogappair East,Chennai,700,93 
667,Mr. B. Vishnuram,,6 ,"Mom's Belief  Communi-Kare Speech, Hearing And Vestibular Rehabilitation Centre",Kundrathur,Chennai,300,100 
668,Ms. Aishwarya.M,,3 ,iQu Clinic,Aminjikarai,Chennai,1400,100 
669,Ms. Sornalatha,,10 ,Aural Speech And Hearing Clinic,Ambattur,Chennai,500,93 
670,Mr. Deepak Sathyanarayanan,,15 ,Denoc Hearing Care Centre,Nungambakkam,Chennai,400,99 
671,Ms. Indhu Mathi,,8 ,AUORAL Multi Rehab Centre,Mogappair,Chennai,400,100 
672,Ms. Jeeja Ajith,,24 ,Priyaa Child Development Center,Saidapet,Chennai,500,89 
673,Mr. Aravind Kannan,,23 ,Chitra Therapy Centre,Neelankarai,Chennai,400,75 
674,Mr. Hari M,,10 ,AUORAL Multi Rehab Centre,Mogappair,Chennai,400,100 
675,Ms. Varsha Ravindran,,11 ,Prism Therapy Centre,Anna Nagar,Chennai,500,100 
677,Mr. Sunil Patil,,10 ,My Speech and Hearing Clinic,Sadashiv Peth,Pune,700,97 
678,Ms. Sneha Nachiket Sardesai,,10 ,Rejoice Speech & Hearing Clinic,Senapati Bapat Marg,Pune,700,100 
679,Mr. Dayanand Hembade,,9 ,Ghaisas ENT Hospital,Deccan Gymkhana,Pune,600,100 
680,Mr. Ashutosh Dubey,,16 ,Hearing Care Clinic ,Wakad,Pune,600,98 
681,Ms. Dipti Samantaray,,10 ,Prudent International Health Clinic,Kalyani Nagar,Pune,500,100 
682,Mr. Piyush Sone,,12 ,ANRC,Kothrud,Pune,550,100 
683,Ms. Neha J Nellangara,,6 ,KEM Hospital,Rasta Peth,Pune,600,100 
684,Ms. Sakshi Pal,,6 ,Sakshi Speech Clinic,Kondhwa,Pune,800,100 
685,Ms. Pushpa Dahat Salvi,,16 ,Blue Bell Plus Speech & Hearing Clinic,Sinhagad Road,Pune,600,100 
686,Ms. Manisha Sahu,,6 ,Hear Health Clinic,Wanowrie,Pune,700,100 
688,Ms. Neevita Narayan,,28 ,SpHear - Speech & Hearing Clinic,Lajpat Nagar,Delhi,800,97 
689,Ms. Barkha Gupta,,17 ,Hearsaywell Speech And Hearing Clinic,Preet Vihar,Delhi,800,91 
690,Ms. Niyati Chopra,,17 ,UniCare Speech and Hearing Clinic,Vikas Puri,Delhi,1000,97 
691,Ms. Sarika Chandel,,13 ,Ear & Hear Speech And Hearing Clinic,Rajouri Garden,Delhi,1000,96 
692,Mr. Lovedeep Kholia,,14 ,UniCare Speech and Hearing Clinic,Vikas Puri,Delhi,1000,98 
693,Dr. Ruchika Mittal   (PhD),,20 ,Mittal Clinic,Rajouri Garden,Delhi,900,97 
694,Mr. Vijay Aggarwal,,31 ,Vijay Aggarwal (AIIMS) Speech & Hearing Clinic,Janakpuri,Delhi,800,99 
695,Mr. B.P.Singh,,32 ,Singh Speech Therapy & Hearing Aid  Clinic,Rohini,Delhi,500,80 
696,Ms. Ramya Kapooria,,16 ,Hearing Expert Center,Old Rajendra Nagar,Delhi,600,97 
697,Dr. Kshitij Malik,,17 ,Dr Malik's Prime Clinic - Hearing Tinnitus Vertigo,Defence Colony,Delhi,1000,97 
699,Mr. Premnath Balla,,21 ,Phonics Multi Specialty Medical Rehabilitation Centre,Banjara Hills,Hyderabad,500,93 
700,Mr. Ravindar Varakala,,19 ,Harmony Hearing Clinic,Miyapur,Hyderabad,600,99 
701,Ms. Sharmila Banik,,16 ,reDO Speech & Hearing Centre,Gachibowli,Hyderabad,700,91 
702,Mr. Nagendar Kankipati,,14 ,Global Care Hearing Aid Speech Therapy ENT Clinic,Tarnaka,Hyderabad,300,100 
703,Mr. Sai Krishna,,16 ,Hearing Care Centre,Chaitanyapuri,Hyderabad,400,100 
704,Mr. Sachin Kumar Gulve,,14 ,Ashoka Multi Speciality Rehabilitation Centre,AS Rao Nagar,Hyderabad,1000,98 
705,Mr. Vijay Kumar Avilala,,15 ,National Speech & Hearing Center,Masab Tank,Hyderabad,500,100 
706,Mr. Enoc kumar,,15 ,Hanoc Speech and Hearing Clinic,Yellareddyguda,Hyderabad,500,100 
707,Mr. S.Phaneedhar Reddy,,11 ,KIMS - Krishna Institute of Medical Sciences,Secunderabad,Hyderabad,350,100 
708,Mr. N.M.S Reddy,,12 ,Global Hearing & Speech Centre,KPHB,Hyderabad,200,100 
710,Ms. Neema N Kutty,,10 ,Manipal Hospital Varthur Road,Whitefield,Bangalore,950,100 
711,Ms. Aditi BR,,7 ,Fostr Healthcare,Panathur,Bangalore,600,100 
712,Mr. Badrinath S N,,23 ,Vibrant Rehabilitation Centre,Banashankari 2nd Stage,Bangalore,500,100 
713,Ms. Nayanatara Nagendra D V,,13 ,Mind & Brain Hospital,Sahakaranagar,Bangalore,1000,100 
714,Ms. Rashmi Viswamurthy Krishna Rao,,15 ,Mom's Belief Little Ladders,Banashankari 2nd Stage,Bangalore,600,100 
715,Ms. Jini Biju Thomas,,3 ,Mokshaa A Unit Of Fostr Healthcare,Panathur,Bangalore,600,100 
716,Mr. Ravindar Varakala,,19 ,Harmony Speech and Hearing Clinic,Whitefield,Bangalore,300,99 
717,Dr. Praveen Kumar C G   (PhD),,18 ,Mom's Belief Little Ladders,Banashankari 2nd Stage,Bangalore,600,100 
718,Mr. Nitin K Damam,,8 ,Rudh Hearing and Speech Clinic,Vidyaranyapura,Bangalore,400,100 
719,Ms. Jismol James,,4 ,Mom's Belief Therakeyz,KR Puram,Bangalore,700,100 
721,Ms. Komal L Renuke,,15 ,Dr L H Hiranandani Hospital,Powai,Mumbai,850,43 
722,Mr. Piyush Gujarathi,,9 ,Global Hospitals,Parel,Mumbai,1500,100 
723,Ms. Neha Chhabria,,15 ,S L Raheja Fortis Hospital,Mahim,Mumbai,1300,100 
724,Ms. Dr Rupal Chaudhary,,28 ,The Hearing and Vertigo Clinic,Dadar West,Mumbai,1000,100 
725,Ms. Rupali Vani,,26 ,Dhwani Deaf Help Centre,Borivali West,Mumbai,500,90 
726,Ms. Sneha Savla,,12 ,Sparkle Multi-Disciplinary Intervention Centre,Mira Road,Mumbai,600,100 
727,Mr. Hemant Bansode,,15 ,The Sapphire ,Mulund West,Mumbai,700,100 
728,Ms. Ashwini Raut,,23 ,Atharva Speech & Hearing Care,Borivali West,Mumbai,600,100 
729,Ms. Dinaz Wadia,,47 ,Disha - Comprehensive Rehab Centre,Santacruz West,Mumbai,1500,100 
730,Ms. Devangi Dalal,,32 ,Gandhi Nursing Home - Speech N Sound Concepts,Santacruz,Mumbai,1000,100 
732,Ms. Saradha,,10 ,Life Healthcare Multi Specialty Rehabilitation Centre,Mogappair East,Chennai,700,93 
733,Mr. B. Vishnuram,,6 ,"Mom's Belief  Communi-Kare Speech, Hearing And Vestibular Rehabilitation Centre",Kundrathur,Chennai,300,100 
734,Ms. Aishwarya.M,,3 ,iQu Clinic,Aminjikarai,Chennai,1400,100 
735,Ms. Sornalatha,,10 ,Aural Speech And Hearing Clinic,Ambattur,Chennai,500,93 
736,Ms. Nimisha Raj,,11 ,HEAL Multirehab Services,Madipakkam,Chennai,400,100 
737,Mr. Deepak Sathyanarayanan,,15 ,Denoc Hearing Care Centre,Nungambakkam,Chennai,400,99 
738,Ms. Indhu Mathi,,8 ,AUORAL Multi Rehab Centre,Mogappair,Chennai,400,100 
739,Ms. Mangayarkarasi,,9 ,Life Healthcare Multi Specialty Rehabilitation Centre,Mogappair East,Chennai,500,100 
740,Ms. Jeeja Ajith,,24 ,Priyaa Child Development Center,Saidapet,Chennai,500,89 
741,Mr. Aravind Kannan,,23 ,Chitra Therapy Centre,Neelankarai,Chennai,400,75 
742,Mr. Ashutosh Dubey,,16 ,Hearing Care Clinic ,Wakad,Pune,600,98 
743,Ms. Dipti Samantaray,,10 ,Prudent International Health Clinic,Kalyani Nagar,Pune,500,100 
744,Dr. Namita Joshi   (PhD),,5 ,Sampark Epolyclinic,Dhankawadi,Pune,1000,92 
745,Mr. Piyush Sone,,12 ,ANRC,Kothrud,Pune,550,100 
746,Ms. Neha J Nellangara,,6 ,KEM Hospital,Rasta Peth,Pune,600,100 
747,Ms. Sakshi Pal,,6 ,Sakshi Speech Clinic,Kondhwa,Pune,800,100 
748,Ms. Pushpa Dahat Salvi,,16 ,Blue Bell Plus Speech & Hearing Clinic,Sinhagad Road,Pune,600,100 
749,Mr. Govind Ramchandra Rajopadhye,,11 ,"Rajopadhye's Hearing Aid Hub, Hearing And Speech Clinic",Bavdhan,Pune,400,100 
750,Mr. Akshay Kamble,,7 ,Akshara Speech And Hearing Clinic,Baramati,Pune,500,100 
751,Mr. Avichal Lalendra Ambulkar,,14 ,Ambulkar Speech And Hearing Clinic,Satara Road,Pune,800,100 
753,Ms. Neevita Narayan,,28 ,SpHear - Speech & Hearing Clinic,Lajpat Nagar,Delhi,800,97 
754,Ms. Barkha Gupta,,17 ,Hearsaywell Speech And Hearing Clinic,Preet Vihar,Delhi,800,91 
755,Ms. Niyati Chopra,,17 ,UniCare Speech and Hearing Clinic,Vikas Puri,Delhi,1000,97 
756,Ms. Sarika Chandel,,13 ,Ear & Hear Speech And Hearing Clinic,Rajouri Garden,Delhi,1000,96 
757,Mr. Lovedeep Kholia,,14 ,UniCare Speech and Hearing Clinic,Vikas Puri,Delhi,1000,98 
758,Mr. Dharmendra Kumar,,19 ,Chetna World of Therapeutic Services,Vasant Kunj,Delhi,1200,100 
759,Dr. Ruchika Mittal   (PhD),,20 ,Mittal Clinic,Rajouri Garden,Delhi,900,97 
760,Ms. Deepa Kumari,,7 ,Mom's Belief Samvedna,Anand Vihar,Delhi,700,50 
761,Mr. Vijay Aggarwal,,31 ,Vijay Aggarwal (AIIMS) Speech & Hearing Clinic,Janakpuri,Delhi,800,99 
763,Ms. Aswini Sagar,,12 ,AHAARVEDA By Aswini Sagar,Kompally,Hyderabad,5000,100 
764,Ms. Shada Afreen,,5 ,Oliva Skin & Hair Clinic,Jubilee Hills,Hyderabad,600,100 
765,Ms. Jyoti Chabria,,33 ,Nutriline - The Wellness Centre,Banjara Hills,Hyderabad,1000,86 
766,Mr. Jagdish,,5 ,Unique Homeopathy and Diet Clinic,Manikonda,Hyderabad,800,100 
767,Ms. Nousheen Khatoon,,6 ,Oliva Skin and Hair Clinic,Himayat Nagar,Hyderabad,600,100 
768,Dr. Matheen Asrar   (PhD),,12 ,Shenoy Hospitals,East Marredpally,Hyderabad,700,100 
769,Ms. Durga Kumari,,13 ,Advit Diet Clinic,Ecil,Hyderabad,700,95 
770,Ms. Anju Katara,,19 ,Body Pulse Diet Clinic,Jubilee Hills,Hyderabad,1000,98 
771,Ms. Bhumika Pasari,,12 ,The Nutrition Clinic,Kukatpally,Hyderabad,500,88 
772,Ms. Lakshmi Tejasvi,,12 ,Vibgyor Nutri,Banjara Hills,Hyderabad,750,97 
775,Ms. Vani Krishna,,11 ,Manipal Hospital Varthur Road,Whitefield,Bangalore,500,100 
776,Dr. Sharmila Shankar,,23 ,Ayushya Ayurcare Clinic,Malleswaram,Bangalore,1000,100 
777,Ms. Rohini Raghu,,18 ,Apollo Clinic,Basavanagudi,Bangalore,550,70 
778,Dr. Bharathi AV   (PhD),,26 ,Fortis Hospital,Richmond Town,Bangalore,1500,92 
779,Ms. Sushmaa Jaiswal,,37 ,Swasthya Nutrition,Whitefield,Bangalore,2000,93 
780,Ms. Sonal Sureka,,8 ,Nutridiction,Ashoknagar,Bangalore,1500,98 
781,Ms. Shikha Mishra,,15 ,More Than Diet,Sarjapur Road,Bangalore,500,95 
782,Dr. Shailja Jain   (PhD),,18 ,Shailja's ProDiet,Whitefield,Bangalore,1500,100 
783,Ms. Uma Trasi,,23 ,Manipal Hospital Malleshwaram,Malleswaram,Bangalore,610,100 
784,Ms. Shalmali Sharma,,20 ,Re-vive,BTM Layout 2nd Stage,Bangalore,1500,87 
787,Dr. Asmita Sawe,,16 ,Rejoice Wellness,Vileparle East,Mumbai,1500,97 
788,Ms. Geetanjali,,19 ,Medical Nutrition Clinic,Bandra West,Mumbai,1500,99 
789,Ms. Smita Nanda R D,,17 ,RD Smita Nanda Nutrition Consultant,Kandivali East,Mumbai,1200,97 
790,Ms. Malika Kabra Rathi,,16 ,Malika Kabra Rathi's Nutrition Clinic,Lokhandwala,Mumbai,2500,99 
791,Ms. Ushma Haria,,14 ,Sushrut Hospital and Research Center,Chembur East,Mumbai,800,100 
792,Ms. Deepa Nandy,,16 ,Deepa Nandy's Nutriguide,Andheri West,Mumbai,2500,100 
793,Dr. Zubeda Tumbi   (PhD),,34 ,Healthwatch Nutrition Clinic,Andheri West,Mumbai,1500,96 
794,Ms. Sajida Shaikh,,5 ,NS Slim Fitness Studio,Mira Road,Mumbai,1000,98 
795,Ms. Richa Doshi,,13 ,The Health Studio,Kandivali West,Mumbai,800,97 
796,Ms. Dt Ruchita Maheshwari,,11 ,Healthy Mantra,Andheri East,Mumbai,850,94 
798,Dr. Preeti Raj   (PhD),,15 ,Wootu Nutrition OMR,Perungudi,Chennai,3000,94 
799,Dr. Anju Soni   (PhD),,10 ,COOLWITS,Choolai,Chennai,1300,100 
800,Ms. Anuritha,,5 ,Oliva Skin & Hair Clinic,Anna Nagar,Chennai,600,100 
801,Ms. Sangeetha G,,4 ,Oliva Skin And Hair Clinic,Alwarpet,Chennai,600,100 
802,Ms. Jayavani.J,,26 ,Boston Brain and Spine Care,Anna Nagar,Chennai,700,100 
803,Ms. Shail Yadav,,15 ,Infinity Diet Clinic,OMR Road,Chennai,1000,100 
804,Ms. V.Geetha,,17 ,Wonder Diet Clinic,Medavakkam,Chennai,1000,100 
805,Ms. MVL Sudharshana,,9 ,MVL Sudharshana Nutrition,T Nagar,Chennai,1000,100 
806,Ms. Roshni S.V,,8 ,"Magna Clinics for Obesity, Diabetes & Endocrinology",Ashok Nagar,Chennai,500,96 
807,Ms. Muthulakshmi,,19 ,Nutrizione,KK Nagar,Chennai,2000,91 
809,Ms. Prachi Fotani,,15 ,Nutrify me,Kharadi,Pune,1000,99 
810,Ms. Geeta Desai,,36 ,Geeta Desai Diet Consultant & Lifestyle Counsellor,Aundh,Pune,1500,97 
811,Ms. Mrunal Deshpande,,10 ,Mrunal's Diet Clinic,Wakad,Pune,850,99 
812,Ms. Roma Gupta,,15 ,Prudent International Health Clinic,Kalyani Nagar,Pune,700,91 
813,Ms. Neha Pundir,,9 ,Nutrition With Neha,Dhanori,Pune,1000,100 
814,Ms. Shruti Maheshwary,,13 ,Umarji Mother & Child Care,Baner,Pune,1300,97 
815,Ms. Rizwana Sayed,,20 ,Apollo Clinic,Viman Nagar,Pune,600,100 
816,Ms. Avanti Deshpande,,23 ,Avanti Deshpande Nutrition Clinic,Erandwane,Pune,3000,97 
817,Ms. Rupal Jasani,,16 ,Rupal's Diet Clinic,Pimple Saudagar,Pune,500,95 
818,Dr. Amita D Golande,,18 ,Oasis Counsellors,Aundh,Pune,700,100 
820,Dr. Pankaj Kumar,,16 ,Diet Plus Minus,Dwarka Sector 9,Delhi,700,96 
821,Dr. Anjana Kalia,,22 ,Dr Anjana Kalia's Diet clinic,Dwarka,Delhi,1000,99 
822,Ms. Dt. Shilpa Chawla,,21 ,Shilpa Chawla's Health Clinic,Pitampura,Delhi,1500,99 
823,Ms. Shweta,,15 ,The HealthMechanix,Punjabi Bagh,Delhi,1000,99 
824,Ms. Rashima Chhabra,,14 ,Dr. Ajay's Dental and Nutrition Clinic,Rohini Sector 7,Delhi,800,97 
825,Ms. Neha Agarwal,,20 ,Neha's Diet Center,Subhash Nagar,Delhi,1000,96 
826,Dr. Sugeeta Mutreja,,23 ,Aarogya Diets & Nutrition Clinic,Dwarka,Delhi,1000,99 
827,Ms. Priyanka Jaiswal,,12 ,Diet2nourish,Maharani Bagh,Delhi,450,94 
828,Dr. Praveen Rustagi,,27 ,Adopt The Ayurveda,Malviya Nagar,Delhi,500,96 
829,Ms. Rashmi Srivastava,,49 ,Dietician Healthy Living,Malviya Nagar,Delhi,1000,100 
832,Dr. S Srikanth Reddy,,17 ,Medicover Hospitals,Hitech City,Hyderabad,500,98 
833,Dr. Kaushal Ippili,,22 ,Apollo Hospitals,Jubilee Hills,Hyderabad,1200,95 
834,Dr. A.K. Purohit,,42 ,Aster Prime Hospital,Ameerpet,Hyderabad,800,100 
835,Dr. Narreddy Manohar Reddy,,27 ,Apollo Hospital,Hyderguda,Hyderabad,500,100 
836,Dr. S Rajesh Reddy,,18 ,Apollo Hospitals,Jubilee Hills,Hyderabad,800,100 
837,Dr. Randhir Kumar,,27 ,Continental Hospitals,Gachibowli,Hyderabad,1000,75 
838,Dr. M R C Naidu,,42 ,Continental Hospitals,Gachibowli,Hyderabad,1000,100 
839,Dr. V Bramha Prasad,,20 ,Apollo Hospital,Secunderabad,Hyderabad,600,100 
840,Dr. Rahul Lath,,30 ,Apollo Hospitals,Jubilee Hills,Hyderabad,1000,100 
841,Dr. R T S Naik,,31 ,Apollo Hospital,Hyderguda,Hyderabad,1000,80 
843,Dr. Jagdish Chattnalli,,23 ,Aasra Hospital,Jayanagar,Bangalore,800,74 
844,Dr. Umesh Srikantha,,22 ,Aster CMI Hospital,Hebbal,Bangalore,1000,88 
845,Dr. Deepak Somasundar,,14 ,Prima Diagnostics Centre,Yelahanka New Town,Bangalore,700,99 
846,Dr. Ganesh K Murthy,,33 ,Apollo Speciality Hospitals,Jayanagar,Bangalore,1000,100 
847,Dr. Abhilash Bansal,,14 ,Apollo Hospital,Bannerghatta Road,Bangalore,1000,100 
848,Dr. Ravi Gopal Varma,,32 ,Aster CMI Hospital,Hebbal,Bangalore,1000,98 
849,Dr. Avinash K M,,16 ,Manipal Hospital,Hebbal,Bangalore,1090,91 
850,Dr. Arun L Naik,,23 ,Apollo Hospital,Bannerghatta Road,Bangalore,1000,92 
851,Dr. Akshay Hari,,13 ,Aster CMI Hospital,Hebbal,Bangalore,1000,98 
852,Dr. Santhosh,,16 ,Aster CMI Hospital,Hebbal,Bangalore,1000,82 
854,Dr. Nitin Dange,,28 ,Global Hospitals,Parel,Mumbai,5000,100 
855,Dr. Suresh Sankla,,40 ,Global Hospitals,Parel,Mumbai,1850,100 
856,Dr. Gurneet,,20 ,Fortis Hospital,Mulund West,Mumbai,2000,100 
857,Dr. Ravi Balkrishna Sangle,,14 ,Krishna Clinic,Mulund West,Mumbai,1500,100 
858,Dr. Aditya Patil,,14 ,Galaxy Multispeciality Hospital,Wadala,Mumbai,1500,100 
859,Dr. Smita Thorve,,9 ,Sushrut Hospital and Research Center,Chembur East,Mumbai,1500,100 
860,Dr. Kapil Khandelwal,,14 ,Fortis Hospital,Mulund West,Mumbai,2000,92 
861,Dr. Vinod Rambal,,41 ,Wockhardt Hospitals,Mira Road,Mumbai,1000,95 
862,Dr. Ashwin Borkar,,18 ,Wockhardt Hospitals,Mira Road,Mumbai,1000,100 
863,Dr. Sachin Ashokrao Giri,,13 ,Dr L H Hiranandani Hospital,Powai,Mumbai,1600,100 
865,Dr. Siddhartha Ghosh,,42 ,Apollo Speciality Hospital,Vanagaram,Chennai,2000,76 
866,Dr. S. Selvapandian,,36 ,Apollo Speciality Hospital,Vanagaram,Chennai,800,100 
867,Dr. V.Soundappan,,43 ,Fortis Malar Hospital,Adyar,Chennai,800,99 
868,Dr. Nigel Symss,,30 ,Gleneagles Global Health City,Perumbakkam,Chennai,1000,100 
869,Dr. M. Kodeeswaran,,22 ,Boston Brain and Spine Care,Anna Nagar,Chennai,500,99 
